date,transect,quadrat,species,cdb,stem_height,num_seed_stems,leaf_1,leaf_2,leaf_3,leaf_4,leaf_5,leaf_6,leaf_7,leaf_8,leaf_9,leaf_10,leaf_11,leaf_12,leaf_13,leaf_14,leaf_15,leaf_16,leaf_17,leaf_18,leaf_19,leaf_20,leaf_21,leaf_22,pistillate_length,pistillate_width,sum_leaf_lengths,num_leaves,longest_leaf,stem area,stem_volume,biomass,biomass_nonnegative,data book ID,Notes
6/30/11,M_4_C,58,s_acutus,0.78,29,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.48,,-2.5576,0,1,
6/30/11,M_4_C,58,s_acutus,0.85,63,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.57,,-0.174,0,1,
6/30/11,M_4_C,58,s_acutus,0.85,74,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.57,,0.5972,0.5972,1,
6/30/11,M_4_C,58,s_acutus,0.85,82,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.57,,1.158,1.158,1,
6/30/11,M_4_C,58,s_acutus,1.21,89,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1.15,,1.6487,1.6487,1,
6/30/11,M_4_C,58,s_acutus,0.82,94,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.53,,1.9993,1.9993,1,
6/30/11,M_4_C,58,s_acutus,1.54,94,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1.86,,1.9993,1.9993,1,
6/30/11,M_4_C,58,s_acutus,1.26,101,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1.25,,2.49,2.49,1,
6/30/11,M_4_C,58,s_acutus,1.53,105,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1.84,,2.7704,2.7704,1,
6/30/11,M_4_C,58,s_acutus,1.52,107,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1.81,,2.9106,2.9106,1,
6/30/11,M_4_C,58,s_acutus,1.32,118,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1.37,,3.6818,3.6818,1,
6/30/11,M_4_C,58,s_acutus,1.15,131,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1.04,,4.5932,4.5932,1,
6/30/11,M_4_C,58,s_acutus,2.16,133,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,3.66,,4.7334,4.7334,1,
6/30/11,M_4_C,58,s_acutus,1.52,150,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1.81,,5.9252,5.9252,1,
6/30/11,M_4_C,58,s_acutus,2.32,154,5,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,4.23,,0,0,1,
6/30/11,M_4_C,58,s_acutus,1.83,156,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,2.63,,6.3458,6.3458,1,
