date,transect,quadrat,species,cdb,stem_height,num_seed_stems,leaf_1,leaf_2,leaf_3,leaf_4,leaf_5,leaf_6,leaf_7,leaf_8,leaf_9,leaf_10,leaf_11,leaf_12,leaf_13,leaf_14,leaf_15,leaf_16,leaf_17,leaf_18,leaf_19,leaf_20,leaf_21,leaf_22,pistillate_length,pistillate_width,data book ID,Notes
7/1/11,m4c,58,s_acutus,0.78,29,0,,,,,,,,,,,,,,,,,,,,,,,,,1,real date was 6/30/11
7/1/11,m4c,58,s_acutus,0.85,63,0,,,,,,,,,,,,,,,,,,,,,,,,,1,real date was 6/30/11
7/1/11,m4c,58,s_acutus,0.85,74,0,,,,,,,,,,,,,,,,,,,,,,,,,1,real date was 6/30/11
7/1/11,m4c,58,s_acutus,0.85,82,0,,,,,,,,,,,,,,,,,,,,,,,,,1,real date was 6/30/11
7/1/11,m4c,58,s_acutus,1.21,89,0,,,,,,,,,,,,,,,,,,,,,,,,,1,real date was 6/30/11
7/1/11,m4c,58,s_acutus,0.82,94,0,,,,,,,,,,,,,,,,,,,,,,,,,1,real date was 6/30/11
7/1/11,m4c,58,s_acutus,1.54,94,0,,,,,,,,,,,,,,,,,,,,,,,,,1,real date was 6/30/11
7/1/11,m4c,58,s_acutus,1.26,101,0,,,,,,,,,,,,,,,,,,,,,,,,,1,real date was 6/30/11
7/1/11,m4c,58,s_acutus,1.53,105,0,,,,,,,,,,,,,,,,,,,,,,,,,1,real date was 6/30/11
7/1/11,m4c,58,s_acutus,1.52,107,0,,,,,,,,,,,,,,,,,,,,,,,,,1,real date was 6/30/11
7/1/11,m4c,58,s_acutus,1.32,118,0,,,,,,,,,,,,,,,,,,,,,,,,,1,real date was 6/30/11
7/1/11,m4c,58,s_acutus,1.15,131,0,,,,,,,,,,,,,,,,,,,,,,,,,1,real date was 6/30/11
7/1/11,m4c,58,s_acutus,2.16,133,0,,,,,,,,,,,,,,,,,,,,,,,,,1,real date was 6/30/11
7/1/11,m4c,58,s_acutus,1.52,150,0,,,,,,,,,,,,,,,,,,,,,,,,,1,real date was 6/30/11
7/1/11,m4c,58,s_acutus,2.32,154,5,,,,,,,,,,,,,,,,,,,,,,,,,1,real date was 6/30/11
7/1/11,m4c,58,s_acutus,1.83,156,0,,,,,,,,,,,,,,,,,,,,,,,,,1,real date was 6/30/11
7/1/11,m4c,58,s_acutus,2.38,156,0,,,,,,,,,,,,,,,,,,,,,,,,,1,real date was 6/30/11
7/1/11,m4c,58,s_acutus,1.26,167,0,,,,,,,,,,,,,,,,,,,,,,,,,1,real date was 6/30/11
7/1/11,m4c,58,s_acutus,2.56,167,9,,,,,,,,,,,,,,,,,,,,,,,,,1,real date was 6/30/11
7/1/11,m4c,58,s_acutus,2.05,173,0,,,,,,,,,,,,,,,,,,,,,,,,,1,real date was 6/30/11
7/1/11,m4c,58,s_acutus,2.78,173,10,,,,,,,,,,,,,,,,,,,,,,,,,1,real date was 6/30/11
7/1/11,m4c,58,s_acutus,1.4,175,0,,,,,,,,,,,,,,,,,,,,,,,,,1,real date was 6/30/11
